1,283747,d,6,05-JAN-2022,145
2,123123,d,1,05-JAN-2022,548.95
3,321456,d,2,05-JAN-2022,3500
4,456545,d,2,05-JAN-2022,552.45
5,369734,d,4,08-JAN-2022,834
6,222220,d,2,10-JAN-2022,40000
7,444455,d,6,11-JAN-2022,686.75
8,737373,d,6,13-JAN-2022,9456
9,183746,d,1,15-JAN-2022,175
10,828282,d,2,18-JAN-2022,7500
11,928745,d,6,19-JAN-2022,2300
12,298475,d,6,19-JAN-2022,1900
13,127272,d,1,19-JAN-2022,150
14,928745,d,1,19-JAN-2022,2300
15,555555,d,1,22-JAN-2022,925
16,666666,d,2,23-JAN-2022,5489.85
17,575757,d,6,27-JAN-2022,890
18,646464,d,6,28-JAN-2022,612
19,232323,d,2,29-JAN-2022,750
20,444444,d,5,31-JAN-2022,10000
21,111333,d,3,01-FEB-2022,823
22,353534,d,6,01-FEB-2022,212
23,294358,d,4,02-FEB-2022,5500
24,587253,d,4,03-FEB-2022,5000
25,666555,d,5,05-FEB-2022,84565
26,362743,d,6,07-FEB-2022,3000
27,362743,w,6,07-FEB-2022,300
28,182743,d,6,07-FEB-2022,8823
29,321321,d,1,08-FEB-2022,4895
30,173642,d,6,08-FEB-2022,550.95
31,173642,d,6,08-FEB-2022,87938
32,183747,d,6,09-FEB-2022,9652.55
33,426573,d,4,10-FEB-2022,500
34,777723,d,3,10-FEB-2022,1990
35,265843,d,6,11-FEB-2022,135
36,999924,d,3,11-FEB-2022,1600
37,525342,d,2,11-FEB-2022,2500
38,525342,d,2,11-FEB-2022,5000
39,273646,d,2,11-FEB-2022,110
40,777777,d,6,11-FEB-2022,351
41,152434,d,1,11-FEB-2022,156.48
42,172643,d,1,11-FEB-2022,1790
43,283746,d,3,11-FEB-2022,350
44,269734,d,4,13-FEB-2022,834
45,282736,w,3,16-FEB-2022,500
46,363636,d,5,17-FEB-2022,572
47,354345,d,4,19-FEB-2022,1000
48,888776,d,3,22-FEB-2022,2540
49,337567,d,3,23-FEB-2022,1350
50,654655,d,6,23-FEB-2022,3345
51,173264,w,2,25-FEB-2022,1000
52,274364,d,3,25-FEB-2022,4232
53,273654,d,3,27-FEB-2022,8965
54,362743,d,6,05-MAR-2022,1000
55,818726,d,1,10-MAR-2022,2500
56,333333,d,6,12-MAR-2022,9864
57,183274,d,6,17-MAR-2022,159.50
58,928745,w,6,18-MAR-2022,1300
59,818726,w,3,19-MAR-2022,1400
60,587253,d,4,24-MAR-2022,2000
61,818726,w,2,01-APR-2022,1200
62,283274,d,6,03-APR-2022,516
63,383838,d,3,03-APR-2022,2500
64,654654,d,6,10-APR-2022,549
65,889988,d,5,11-APR-2022,28015
66,663355,d,1,12-APR-2022,2917.95
67,776655,d,2,12-APR-2022,250
68,827436,d,2,15-APR-2022,986
69,173264,w,6,15-APR-2022,1000
70,282828,d,3,15-APR-2022,1000
71,119928,d,6,15-APR-2022,500
72,293847,d,2,15-APR-2022,950
73,776665,d,5,23-APR-2022,78974
74,867543,d,6,25-APR-2022,100
75,282736,w,2,26-APR-2022,500
76,264357,d,2,26-APR-2022,4000
77,919191,d,3,26-APR-2022,500
78,524342,d,6,26-APR-2022,4981
79,121212,d,4,26-APR-2022,3185
80,222222,d,1,27-APR-2022,232
81,111223,d,4,27-APR-2022,1415
82,173264,d,6,27-APR-2022,2000
83,264357,d,2,28-APR-2022,5000
84,333111,d,5,29-APR-2022,400
85,222221,d,1,29-APR-2022,454
86,535353,d,6,29-APR-2022,189
87,273645,d,3,30-APR-2022,498.45
88,282736,d,1,30-APR-2022,1000
89,772645,d,1,30-APR-2022,600
90,919191,w,3,30-APR-2022,500
91,123123,w,2,26-MAY-2022,1233
